Gender,Age,Annual Income (k$),Spending Score (1-100)
Male,57,48,37
Male,35,45,74
Male,64,103,95
Male,18,86,30
Female,50,42,83
Female,26,64,12
Female,31,85,55
Male,46,42,56
Male,46,23,11
Female,47,15,28
Male,19,93,26
Female,59,55,16
Female,26,68,1
Male,28,45,44
Male,47,27,47
Male,34,32,47
Male,43,25,69
Male,18,82,1
Female,42,99,40
Male,41,61,100
Female,31,20,73
Female,18,73,73
Female,35,93,23
Male,38,86,45
Female,33,59,1
Male,18,54,65
Male,61,59,86
Female,29,92,12
Male,35,80,20
Male,18,50,49
Female,61,49,54
Female,32,47,36
Female,40,32,29
Male,54,96,29
Male,29,39,48
Male,52,73,65
Female,18,43,48
Female,46,48,46
Female,60,57,4
Female,30,74,72
Female,54,53,48
Male,64,30,38
Female,35,61,56
Female,34,40,28
Male,26,101,39
Female,31,53,52
Male,27,43,32
Male,26,112,7
Female,55,79,3
Male,27,37,61
Male,42,39,49
Male,39,73,48
Female,59,61,20
Male,31,83,49
Female,44,43,39
Male,49,78,34
Female,59,15,48
Female,31,56,57
Male,30,44,95
Female,24,48,64
Male,70,57,72
Male,58,90,78
Male,38,30,30
Male,65,15,41
Male,37,33,26
Female,48,87,32
Female,38,17,39
Female,44,45,31
Male,42,82,55
Female,32,59,61
Female,54,90,16
Male,48,15,42
Male,53,52,42
Male,43,95,12
Female,26,30,30
Male,62,87,72
Female,35,54,72
Female,43,71,8
Male,47,93,62
Female,43,71,12
Male,51,45,39
Female,53,75,47
Female,35,43,69
Female,61,67,45
Female,35,27,24
Female,43,61,19
Female,33,91,54
Male,29,52,33
Male,53,89,39
Female,70,141,75
Female,33,59,61
Male,55,76,91
Male,34,73,23
Female,38,66,31
Male,63,81,54
Female,23,54,97
Male,20,43,29
Male,37,20,51
Female,48,51,84
Male,45,84,51
Male,43,35,76
Female,39,67,100
Male,49,57,57
Female,18,44,62
Male,28,15,69
Male,37,96,26
Female,48,74,11
Male,59,130,54
Female,26,88,34
Female,59,95,77
Male,32,15,58
Male,37,15,76
Female,46,61,19
Male,36,30,76
Male,54,42,1
Male,33,126,21
Female,33,91,66
Female,53,35,37
Female,28,15,39
Male,42,33,52
Male,18,45,86
Female,64,52,1
Female,55,26,82
Female,70,90,83
Male,57,41,37
Female,23,77,32
Male,48,61,47
Male,26,85,31
Female,60,54,59
Male,23,36,62
Male,22,44,10
Male,18,45,26
Female,32,114,19
Male,29,62,55
Female,21,60,72
Female,66,83,22
Male,46,60,72
Male,44,90,26
Female,61,50,68
Male,42,48,42
Male,28,34,38
Female,18,109,79
Female,27,58,96
Male,59,29,1
Female,21,65,65
Male,43,43,54
Male,53,50,67
Male,42,68,13
Female,44,100,22
Male,48,63,32
Male,44,41,55
Male,61,47,31
Male,24,77,41
Male,42,15,71
Female,18,33,100
Male,18,66,69
Female,37,15,72
Female,46,52,45
Female,61,47,27
Female,70,83,41
Male,57,53,48
Female,49,91,20
Male,41,62,71
Male,18,107,89
Male,36,24,53
Male,56,103,78
Female,51,49,81
Male,20,99,23
Female,47,91,5
Female,46,15,37
Male,43,73,52
Male,38,86,19
Male,48,95,86
Female,48,29,100
Female,29,76,54
Female,45,65,24
Female,36,71,62
Male,18,86,24
Male,31,90,79
Male,18,43,44
Female,52,67,68
Male,43,61,73
Male,33,54,64
Female,58,56,96
Female,39,65,54
Male,18,44,37
Female,32,83,1
Female,61,93,1
Male,29,39,67
Male,42,95,45
Male,49,39,29
Female,47,84,21
Female,70,95,69
Male,22,58,24
Male,23,39,92
Female,22,45,100
Male,34,70,26
Male,54,112,67
Female,24,16,61
Female,54,63,24
Female,39,58,24
Male,23,48,47
Male,18,58,20
Female,18,46,78
Male,29,93,43
Male,36,95,21
Male,57,62,47
Female,50,56,62
Female,27,47,31
Male,44,62,1
Male,61,109,53
Female,65,57,18
Female,34,38,29
Female,52,50,62
Female,58,80,35
Male,18,41,46
Female,31,59,87
Female,69,72,41
Male,34,43,100
Male,18,15,69
Male,37,32,26
Female,54,38,37
Male,38,54,17
Male,48,61,66
Female,51,82,84
Male,33,28,40
Female,31,78,2
Male,40,50,59
Female,41,15,27
Male,39,60,31
Female,40,95,58
Female,28,83,82
Male,49,58,69
Female,47,90,61
Female,20,65,46
Male,33,86,16
Female,40,16,59
Male,31,27,68
Male,47,79,34
Female,37,100,40
Female,41,71,78
Male,33,47,40
Male,18,38,43
Female,18,52,47
Female,47,92,67
Male,42,51,57
Female,44,88,55
Female,40,77,89
Male,41,105,39
Female,52,65,25
Female,45,59,76
Female,53,89,56
Female,41,35,34
Male,34,48,40
Female,41,16,17
Female,27,27,56
Male,33,111,12
Female,41,78,67
Male,41,24,36
Male,37,91,14
Male,19,42,78
Female,47,77,100
Female,50,77,61
Male,61,104,42
Female,45,46,25
Male,38,41,56
Male,24,15,66
Male,59,57,50
Male,42,79,73
Female,41,83,89
Male,35,93,17
Male,34,68,57
Male,48,73,1
Male,24,62,29
Male,61,79,68
Female,58,36,48
Female,33,23,8
Female,26,38,77
Female,18,66,36
Male,21,26,72
Female,49,43,63
Male,43,44,28
Male,45,81,72
Female,18,77,58
Female,33,62,54
Female,57,72,38
Female,37,72,21
Female,21,51,39
Male,37,46,38
Male,28,100,72
Male,43,15,7
Female,39,41,88
Male,46,55,89
Female,21,75,33
Male,32,90,86
Male,54,109,24
Female,19,58,79
Female,24,59,29
Male,41,70,76
Female,42,46,13
Male,32,29,78
Female,34,58,83
Male,46,80,12
Female,50,54,95
Female,23,71,76
Male,43,15,1
Female,59,61,37
Female,37,49,76
Male,23,27,68
Female,23,77,53
Male,36,109,74
Male,53,86,27
Male,38,88,51
Male,41,79,28
Male,24,77,53
Female,52,15,76
Male,22,57,70
Male,31,73,55
Female,47,74,75
Female,18,93,78
Female,41,33,96
Female,24,76,80
Male,39,32,67
Male,33,54,74
Male,68,58,56
Female,33,83,42
Female,64,80,72
Male,47,63,69
Female,27,15,57
Male,43,72,45
Female,34,53,43
Male,42,97,39
Male,28,90,82
Male,62,35,80
Female,51,75,79
Female,39,76,23
Female,63,74,40
Female,39,71,43
Male,54,77,34
Female,39,99,98
Female,44,46,60
Male,37,36,58
Female,40,81,38
Female,41,15,72
Female,29,77,100
Female,33,73,52
Female,35,15,44
Male,42,43,47
Female,38,101,41
Female,55,22,50
Male,50,66,34
Male,36,34,27
Female,58,41,49
Female,65,110,52
Male,18,63,43
Female,51,74,87
Male,29,57,60
Female,50,20,69
Female,56,29,70
Female,26,91,52
Female,18,64,55
Female,50,40,27
Male,40,59,67
Female,18,77,41
Female,70,72,33
Female,47,40,83
Female,48,19,15
Male,57,49,94
Male,30,89,92
Female,40,82,44
Male,20,71,96
Male,30,56,27
Female,44,46,75
Female,18,56,50
Female,29,81,3
Male,25,87,33
Male,40,53,45
Female,46,127,70
Female,49,62,37
Female,52,51,43
Female,58,99,64
Female,47,15,62
Male,65,73,47
Male,40,58,42
Female,36,98,74
Male,47,76,42
Male,35,64,19
Female,64,77,40
Male,54,32,64
Male,49,85,46
Male,40,25,37
Male,33,69,17
Female,48,61,46
Female,23,15,56
Male,60,62,24
Male,36,67,45
Female,43,43,21
Male,26,33,46
Female,48,73,94
Male,32,70,54
Female,47,66,9
Male,49,60,58
Female,29,45,84
Female,23,120,14
Male,60,52,23
Female,36,37,56
Female,41,61,47
Male,45,55,81
Male,21,52,45
Male,45,109,71
Female,40,30,89
Female,29,61,27
Male,22,32,69
Female,47,46,39
Male,54,106,1
Male,41,67,62
Female,18,67,65
Female,24,35,10
Male,32,49,38
Female,60,108,34
Male,35,73,71
Female,32,51,10
Female,18,72,52
Male,29,67,1
Female,21,38,60
Female,24,50,53
Male,40,119,37
Female,33,70,87
Male,62,19,1
Female,53,73,49
Female,30,94,81
Male,26,36,53
Female,58,48,85
Female,62,98,38
Male,18,61,45
Female,40,56,82
Female,35,25,73
Female,47,88,100
Male,65,55,52
Male,32,15,55
Male,18,19,38
Male,46,45,44
Female,58,32,78
Male,34,36,50
Male,29,122,29
Female,32,79,40
Male,50,15,47
Male,32,52,31
Male,43,58,38
Female,39,21,24
Female,37,74,39
Female,48,15,80
Male,32,89,51
Male,32,98,100
Female,49,122,30
Male,25,19,62
Female,26,24,55
Female,21,78,66
Male,50,91,34
Female,37,81,40
Female,20,88,60
Female,50,96,37
Male,31,65,4
Female,26,54,84
Female,36,24,73
Male,59,52,39
Female,33,56,55
Female,46,35,76
Male,49,59,84
Male,45,32,52
Female,56,89,35
Female,28,71,88
Male,24,48,52
Male,24,65,46
Female,36,31,56
Female,25,34,80
Male,40,43,49
Male,39,55,75
Male,53,64,44
Male,42,64,65
Female,33,25,25
Female,44,58,77
Male,24,39,32
Female,38,15,62
Male,43,141,11
Female,40,39,50
Female,44,41,55
Male,29,25,32
Male,54,32,47
Female,64,55,56
Male,18,96,64
Male,21,55,52
Male,39,52,84
Female,35,92,80
Female,65,46,49
Female,41,61,15
Female,58,36,37
Female,18,104,1
Male,50,88,45
Male,28,56,86
Female,28,50,70
Female,35,59,52
Female,18,56,31
Male,45,19,53
Male,41,88,100
Male,42,54,88
Female,51,110,46
Male,60,71,11
Female,33,15,100
Female,45,26,31
Male,42,15,63
Male,44,26,9
Female,44,17,41
Female,61,67,9
Male,32,52,20
Female,18,80,26
Female,29,59,62
Female,49,54,47
Female,39,113,100
Female,32,66,79
Female,23,58,80
Female,41,38,63
Female,47,29,57
Male,43,80,80
Male,35,79,1
Female,40,101,34
Female,40,73,15
Female,41,50,1
Male,22,73,30
Male,41,58,20
Male,32,83,81
Male,53,95,52
Male,40,56,1
Male,50,106,58
Male,34,91,24
Male,35,61,51
Male,59,78,60
Male,44,68,30
Female,28,61,55
Male,51,110,60
Male,31,74,45
Female,42,38,31
Male,64,33,50
Male,18,34,46
Female,36,73,58
Female,44,51,43
Male,49,69,19
Female,21,85,45
Male,18,113,58
Male,54,52,54
Male,28,23,47
Male,28,107,37
Female,60,22,36
Female,39,21,38
Male,39,106,77
Male,36,88,25
Female,21,73,52
Female,48,59,17
Female,44,54,69
Male,41,43,36
Female,37,53,28
Female,34,59,55
Female,51,24,1
Male,36,39,16
Female,37,15,59
Female,46,62,76
Female,41,62,61
Female,61,107,53
Female,18,70,100
Female,43,45,62
Male,28,55,23
Female,25,73,76
Male,32,66,33
Female,39,75,31
Female,40,70,14
Male,18,53,39
Female,31,46,18
Female,42,45,64
Female,26,36,46
Female,23,32,15
Male,18,108,48
Male,29,63,75
Female,22,56,92
Male,25,47,3
Male,35,71,30
Male,30,92,16
Male,22,79,59
Female,18,84,13
Female,43,45,77
Male,49,60,81
Female,33,45,71
Male,35,63,31
Female,38,93,33
Male,60,72,38
Female,18,103,78
Male,33,52,6
Male,18,39,60
Female,43,74,26
Male,36,63,39
Male,41,69,69
Male,40,65,11
Female,52,47,43
Female,46,65,46
Female,50,86,49
Female,23,88,47
Male,55,47,64
Female,28,66,38
Female,29,99,59
Male,42,48,58
Male,43,43,57
Female,23,81,63
Female,36,76,57
Female,59,38,47
Male,18,23,17
Female,59,66,85
Female,35,49,93
Male,18,16,40
Female,19,42,61
Female,25,76,36
Male,30,56,31
Male,37,101,51
Male,18,15,100
Female,41,95,91
Female,24,51,87
Male,58,47,63
Male,35,19,26
Male,52,72,76
Male,54,15,1
Male,53,82,60
Male,30,20,78
Male,30,24,54
Male,35,29,93
Male,47,41,13
Female,31,85,91
Female,37,100,46
Male,42,44,87
Male,26,59,76
Female,25,73,89
Female,36,51,75
Male,38,72,68
Female,44,60,85
Female,48,53,51
Male,23,23,65
Female,27,64,50
Female,25,85,32
Female,58,40,63
Male,37,15,55
Female,39,52,82
Male,39,100,45
Male,28,92,30
Male,60,45,82
Male,44,72,51
Female,39,76,29
Female,23,99,86
Male,22,19,74
Male,34,32,97
Male,29,15,41
Male,23,42,37
Male,33,88,22
Female,35,45,35
Male,40,26,40
Male,31,66,67
Female,24,67,26
Male,25,33,33
Female,55,47,94
Female,21,64,1
Male,43,80,62
Female,46,43,16
Male,37,39,29
Female,63,110,86
Female,45,53,52
Female,64,67,100
Female,29,77,66
Female,29,15,28
Male,46,60,64
Female,35,17,79
Male,62,57,63
Female,43,96,44
Male,24,34,6
Male,18,16,41
Male,37,110,93
Male,37,30,29
Male,43,21,39
Female,55,103,75
Male,53,29,66
Female,30,103,16
Female,20,67,47
Male,21,94,86
Male,28,65,50
Female,33,88,87
Male,43,36,88
Female,27,44,26
Male,42,15,42
Female,43,86,67
Female,40,71,10
Male,23,34,44
Female,45,15,64
Female,67,67,34
Female,42,104,65
Male,18,56,34
Female,56,43,34
Female,29,35,69
Male,70,93,85
Female,40,40,31
Male,18,50,18
Male,18,87,49
Male,60,77,62
Male,54,51,31
Male,69,42,93
Male,39,99,46
Male,38,31,31
Male,33,55,100
Female,29,21,82
Female,33,91,31
Female,41,48,77
Female,27,42,33
Male,18,77,70
Female,41,23,96
Female,26,77,18
Female,18,51,36
Female,46,28,36
Male,23,34,57
Female,48,42,62
Male,47,48,47
Female,42,29,6
Male,70,68,18
Male,36,28,27
Female,34,15,64
Female,48,110,14
Female,38,65,26
Female,55,113,20
Female,21,33,59
Male,21,73,79
Female,49,84,54
Female,22,55,100
Male,47,22,54
Female,44,53,47
Female,29,77,29
Female,43,76,55
Female,21,60,28
Male,24,84,24
Male,35,82,24
Female,39,46,44
Male,34,20,37
Female,44,65,100
Female,44,40,55
Female,60,64,55
Female,37,95,35
Female,55,72,100
Female,51,94,26
Male,70,33,37
Male,37,89,76
Female,32,104,55
Male,56,62,17
Female,44,121,50
Female,56,38,67
Female,48,43,63
Female,18,77,67
Male,44,61,100
Female,43,41,57
Female,40,76,70
Female,37,69,1
Male,18,45,98
Male,51,65,51
Male,44,80,27
Male,54,44,45
Female,18,74,67
Female,45,37,76
Female,35,42,47
Female,40,89,65
Female,35,76,43
Male,46,15,62
Female,36,50,55
Male,24,73,57
Female,40,64,42
Female,35,76,60
Female,37,63,28
Female,18,57,55
Male,48,56,33
Female,34,89,24
Female,20,78,31
Female,51,71,44
Female,47,62,36
Female,34,46,60
Female,22,52,52
Male,41,88,76
Female,40,86,48
Male,51,43,54
Female,32,63,98
Female,55,73,38
Male,31,71,42
Female,20,71,81
Male,23,31,25
Male,37,29,84
Male,37,91,44
Male,43,100,28
Female,37,21,73
Male,52,59,43
Female,35,81,97
Male,18,15,52
Female,37,32,52
Female,18,58,35
Male,42,44,46
Female,53,66,43
Female,25,99,84
Male,58,38,57
Male,50,61,68
Male,55,51,52
Female,41,64,39
Female,24,60,59
Female,49,129,91
Female,30,99,23
Female,40,19,61
Female,36,36,88
Female,54,40,29
Female,49,28,74
Female,37,24,74
Female,18,55,16
Female,29,41,78
Male,48,37,34
Male,42,113,59
Male,18,42,76
Female,18,48,81
Male,41,80,10
Male,24,48,96
Male,25,29,86
Female,48,53,77
Male,55,113,59
Female,28,47,38
Female,38,36,22
Male,37,71,8
Female,36,52,66
Female,39,132,77
Male,49,39,48
Male,29,106,38
Female,18,91,52
Female,62,50,33
Female,54,60,50
Female,23,33,32
Female,40,46,66
Female,52,50,82
Female,49,64,63
Female,45,23,48
Female,36,68,75
Female,62,56,50
Female,41,71,74
Male,31,74,33
Male,51,54,37
Female,40,73,24
Female,43,58,38
Male,41,80,75
Female,45,68,27
Female,25,65,1
Male,18,57,39
Female,58,94,19
Male,42,71,37
Male,49,25,100
Male,18,48,27
Male,53,54,66
Male,31,60,48
Female,27,65,59
Female,37,35,37
Female,25,58,80
Female,38,52,61
Female,36,89,61
Male,53,34,52
Female,59,60,82
Female,59,42,64
Female,18,109,59
Male,25,93,67
Female,18,17,4
Male,22,39,55
Female,29,83,48
Female,44,72,80
Female,31,71,32
Female,31,65,55
Female,41,85,99
Male,18,81,49
Female,27,52,15
Female,31,29,100
Male,36,16,31
Male,39,57,23
Female,59,15,24
Male,51,67,68
Female,28,52,83
Female,35,111,95
Female,34,69,50
Male,31,59,24
Male,42,18,35
Female,18,27,51
Female,51,78,49
Female,62,52,83
Female,35,127,16
Male,34,58,21
Female,41,64,42
Male,53,25,59
Male,34,85,38
Male,51,36,36
Female,45,74,80
Female,70,81,62
Female,34,63,24
Female,18,106,37
Female,18,44,63
Male,39,104,17
Male,53,27,63
Male,29,81,41
Female,35,56,59
Female,48,41,53
Female,25,16,21
Male,30,53,33
Female,22,52,87
Female,55,65,100
Male,60,79,5
Female,18,39,77
Male,36,106,57
Male,58,46,100
Female,44,76,35
Female,32,62,73
Male,18,55,42
Male,54,61,83
Female,43,35,100
Male,18,50,55
Male,55,25,20
Male,18,46,86
Male,35,48,64
Female,35,82,59
Female,61,51,91
Male,35,48,20
Female,35,66,31
Female,19,65,65
Female,29,45,31
Female,27,70,42
Male,28,55,83
Male,38,44,61
Male,18,47,19
Female,18,85,60
Female,37,48,82
Female,40,67,54
Male,35,26,72
Female,38,89,36
Male,33,45,56
Male,38,71,9
Female,44,53,66
Female,44,70,59
Female,29,72,16
Female,51,56,89
Male,41,15,64
Male,56,89,32
Male,58,56,67
Female,18,70,24
Male,26,78,28
Female,50,48,24
Female,18,74,24
Male,58,40,61
Male,34,70,52
Female,46,61,69
Male,37,49,1
Male,19,61,40
Female,53,32,40
Male,70,68,51
Male,31,71,50
Male,34,69,56
Male,18,100,52
Female,57,58,38
Female,51,59,39
Female,18,29,48
Male,18,101,63
Female,18,21,52
Female,47,66,29
Female,49,44,28
Male,25,62,63
Male,45,26,69
Female,41,83,77
Male,33,35,37
Female,52,91,1
Female,22,36,60
Male,54,86,31
Female,28,38,47
Female,63,44,54
Male,24,60,64
Female,33,38,73
Female,39,37,80
Female,39,38,84
Male,45,68,52
Female,20,60,6
Female,38,61,34
Female,40,52,86
Male,31,74,54
Female,44,88,100
Female,20,75,40
Female,34,55,100
Male,28,28,50
Female,34,15,39
Male,59,58,31
Male,59,15,67
Male,56,55,13
Male,32,97,36
Male,51,30,48
Male,40,26,1
Female,39,77,47
Female,37,15,94
Female,63,70,61
Male,57,99,33
Male,49,37,37
Female,36,33,58
Female,39,76,37
Female,46,29,62
Male,31,81,36
Male,51,31,23
Female,25,107,80
Female,44,77,68
Female,18,61,1
Female,31,105,41
Male,67,87,77
Male,53,70,45
Male,60,15,35
Male,29,42,43
Female,40,89,53
Male,56,26,45
Male,47,40,48
Male,45,33,46
Female,61,71,25
Female,24,85,23
Female,36,85,22
Female,18,38,52
Male,23,70,65
Female,53,36,25
Male,26,55,11
Female,49,74,27
Female,62,88,86
Male,36,15,42
Female,46,63,44
Female,49,97,29
Male,21,66,64
Male,30,62,47
Female,24,45,31
Female,31,96,23
Male,48,46,59
Female,30,57,57
Male,38,48,18
Male,24,63,81
Female,55,98,33
Female,31,36,1
Female,60,63,89
Female,39,70,47
Female,19,39,61
Female,36,59,93
Male,24,109,24
Male,47,15,62
Female,35,49,80
Female,41,67,26
Female,33,50,87
Female,31,136,13
Male,25,74,47
Male,50,33,22
Male,36,15,68
Female,34,69,25
Female,36,40,34
Female,29,94,27
Female,34,53,19
Female,41,45,30
Female,24,45,49
Male,26,86,47
Female,58,71,44
Female,33,106,32
Female,31,54,41
Female,20,83,9
Male,50,83,32
Female,24,78,44
Male,38,47,57
Female,18,72,54
Female,50,58,18
Female,55,57,61
Female,45,39,53
Male,18,15,87
Male,50,93,11
Female,27,71,46
Female,22,25,76
Female,33,79,42
Female,33,93,26
Male,31,80,29
Female,56,37,70
Female,66,41,10
Male,19,46,41
Male,29,83,27
Male,40,73,29
Male,33,133,61
Female,44,17,39
Female,51,59,56
Male,49,15,18
Female,47,76,71
Male,62,88,55
Female,18,98,82
Female,59,65,39
Female,33,15,61
Female,49,59,70
Male,24,72,61
Female,26,34,94
Male,48,53,7
Female,18,27,54
Male,52,44,39
Female,56,84,37
Female,41,78,88
Female,40,23,34
Male,27,42,72
Male,48,62,22
Male,43,66,76
Male,25,43,49
Male,33,73,42
Female,36,59,10
Female,33,15,42
Female,19,45,32
Female,48,44,95
Male,35,78,51
Female,39,78,34
Male,30,16,33
Female,45,72,15
Female,41,58,89
Male,55,63,82
Male,45,44,48
Female,36,58,100
Male,28,90,49
Female,50,63,78
Male,34,59,64
Male,36,47,35
Female,36,88,54
Male,33,26,59
Female,36,39,16
Female,65,25,57
Male,24,65,79
Female,27,91,32
Male,58,51,44
Female,33,32,21
Male,32,103,37
Female,53,72,39
Male,19,67,90
Male,50,55,42
Female,39,78,36
Male,45,67,47
Female,45,47,6
Male,30,52,1
Female,53,33,14
Female,31,30,58
Female,44,52,50
Male,56,90,72
Female,58,33,10
Female,35,82,44
Male,45,39,9
Female,33,15,57
Female,70,74,14
Female,49,103,43
Female,40,38,55
Female,43,19,40
Female,44,72,1
Female,44,36,93
Male,35,74,37
Female,33,90,8
Female,36,69,69
Male,22,81,70
Male,48,82,42
Male,27,86,89
Female,24,61,31
Male,38,81,54
Male,37,64,63
Female,42,70,89
Female,30,140,1
Male,33,66,100
Male,48,21,80
Male,47,55,61
Male,47,52,29
Female,39,53,27
Male,41,85,57
Male,42,90,62
Male,29,57,59
Male,59,24,54
Female,57,63,61
Female,49,46,1
Male,32,66,43
Female,46,57,14
Female,52,92,49
Female,21,67,83
Female,62,46,26
Male,18,24,31
Male,48,59,28
Female,59,59,31
Male,37,53,64
Male,36,80,70
Female,48,24,88
Female,64,40,24
Female,34,61,67
Female,27,45,72
Female,32,51,92
Female,18,58,26
Female,51,78,1
Female,31,57,43
Male,35,15,100
Female,51,44,21
Male,33,73,62
Male,49,80,1
Female,24,82,97
Male,52,89,1
Male,43,63,1
Female,37,67,52
Female,40,33,53
Male,20,15,86
Female,40,23,72
Female,36,42,1
Male,21,24,46
Male,29,52,32
Male,37,48,15
Female,30,85,61
Female,18,35,77
Female,53,64,29
Female,36,49,41
Female,18,34,43
Male,68,41,33
Male,56,15,39
Female,33,80,33
Male,27,97,53
Female,44,53,35
Male,41,61,61
Female,46,52,34
Male,27,39,66
